time_s,speed_kph,distance_m,cum_distance_m,cycle
0,0.0,0.0,0.0,SORT-1_like
1,0.0,0.0,0.0,SORT-1_like
2,0.0,0.0,0.0,SORT-1_like
3,0.0,0.0,0.0,SORT-1_like
4,0.0,0.0,0.0,SORT-1_like
5,0.0,0.0,0.0,SORT-1_like
6,0.0,0.0,0.0,SORT-1_like
7,0.0,0.0,0.0,SORT-1_like
8,0.0,0.0,0.0,SORT-1_like
9,0.0,0.0,0.0,SORT-1_like
10,0.0,0.0,0.0,SORT-1_like
11,0.0,0.0,0.0,SORT-1_like
12,0.0,0.0,0.0,SORT-1_like
13,0.0,0.0,0.0,SORT-1_like
14,0.0,0.0,0.0,SORT-1_like
15,0.0,0.0,0.0,SORT-1_like
16,0.0,0.0,0.0,SORT-1_like
17,0.0,0.0,0.0,SORT-1_like
18,0.0,0.0,0.0,SORT-1_like
19,0.0,0.0,0.0,SORT-1_like
20,0.0,0.0,0.0,SORT-1_like
21,0.0,0.0,0.0,SORT-1_like
22,0.0,0.0,0.0,SORT-1_like
23,0.0,0.0,0.0,SORT-1_like
24,0.0,0.0,0.0,SORT-1_like
25,0.0,0.0,0.0,SORT-1_like
26,0.0,0.0,0.0,SORT-1_like
27,3.1818181818181817,0.8838383838383838,0.8838383838383838,SORT-1_like
28,6.363636363636363,1.7676767676767675,2.6515151515151514,SORT-1_like
29,9.545454545454545,2.6515151515151514,5.303030303030303,SORT-1_like
30,12.727272727272727,3.535353535353535,8.838383838383837,SORT-1_like
31,15.909090909090908,4.419191919191919,13.257575757575756,SORT-1_like
32,19.09090909090909,5.303030303030303,18.56060606060606,SORT-1_like
33,22.27272727272727,6.186868686868686,24.747474747474744,SORT-1_like
34,25.454545454545453,7.07070707070707,31.818181818181813,SORT-1_like
35,28.636363636363637,7.954545454545454,39.772727272727266,SORT-1_like
36,31.818181818181817,8.838383838383837,48.6111111111111,SORT-1_like
37,35.0,9.722222222222221,58.33333333333332,SORT-1_like
38,35.0,9.722222222222221,68.05555555555554,SORT-1_like
39,35.0,9.722222222222221,77.77777777777777,SORT-1_like
40,35.0,9.722222222222221,87.5,SORT-1_like
41,35.0,9.722222222222221,97.22222222222223,SORT-1_like
42,35.0,9.722222222222221,106.94444444444446,SORT-1_like
43,35.0,9.722222222222221,116.66666666666669,SORT-1_like
44,35.0,9.722222222222221,126.38888888888891,SORT-1_like
45,35.0,9.722222222222221,136.11111111111114,SORT-1_like
46,31.5,8.75,144.86111111111114,SORT-1_like
47,27.999999999999996,7.777777777777777,152.6388888888889,SORT-1_like
48,24.5,6.805555555555555,159.44444444444446,SORT-1_like
49,21.0,5.833333333333333,165.2777777777778,SORT-1_like
50,17.5,4.861111111111111,170.1388888888889,SORT-1_like
51,14.000000000000002,3.8888888888888893,174.0277777777778,SORT-1_like
52,10.500000000000002,2.916666666666667,176.94444444444446,SORT-1_like
53,7.000000000000001,1.9444444444444446,178.8888888888889,SORT-1_like
54,3.5000000000000036,0.9722222222222232,179.86111111111114,SORT-1_like
55,0.0,0.0,179.86111111111114,SORT-1_like
56,0.0,0.0,179.86111111111114,SORT-1_like
57,0.0,0.0,179.86111111111114,SORT-1_like
58,0.0,0.0,179.86111111111114,SORT-1_like
59,0.0,0.0,179.86111111111114,SORT-1_like
60,0.0,0.0,179.86111111111114,SORT-1_like
61,0.0,0.0,179.86111111111114,SORT-1_like
62,0.0,0.0,179.86111111111114,SORT-1_like
63,0.0,0.0,179.86111111111114,SORT-1_like
64,0.0,0.0,179.86111111111114,SORT-1_like
65,0.0,0.0,179.86111111111114,SORT-1_like
66,0.0,0.0,179.86111111111114,SORT-1_like
67,0.0,0.0,179.86111111111114,SORT-1_like
68,0.0,0.0,179.86111111111114,SORT-1_like
69,0.0,0.0,179.86111111111114,SORT-1_like
70,0.0,0.0,179.86111111111114,SORT-1_like
71,0.0,0.0,179.86111111111114,SORT-1_like
72,0.0,0.0,179.86111111111114,SORT-1_like
73,0.0,0.0,179.86111111111114,SORT-1_like
74,0.0,0.0,179.86111111111114,SORT-1_like
75,0.0,0.0,179.86111111111114,SORT-1_like
76,0.0,0.0,179.86111111111114,SORT-1_like
77,0.0,0.0,179.86111111111114,SORT-1_like
78,0.0,0.0,179.86111111111114,SORT-1_like
79,0.0,0.0,179.86111111111114,SORT-1_like
80,0.0,0.0,179.86111111111114,SORT-1_like
81,0.0,0.0,179.86111111111114,SORT-1_like
82,3.1818181818181817,0.8838383838383838,180.74494949494954,SORT-1_like
83,6.363636363636363,1.7676767676767675,182.5126262626263,SORT-1_like
84,9.545454545454545,2.6515151515151514,185.16414141414145,SORT-1_like
85,12.727272727272727,3.535353535353535,188.69949494949498,SORT-1_like
86,15.909090909090908,4.419191919191919,193.1186868686869,SORT-1_like
87,19.09090909090909,5.303030303030303,198.4217171717172,SORT-1_like
88,22.27272727272727,6.186868686868686,204.60858585858588,SORT-1_like
89,25.454545454545453,7.07070707070707,211.67929292929296,SORT-1_like
90,28.636363636363637,7.954545454545454,219.63383838383842,SORT-1_like
91,31.818181818181817,8.838383838383837,228.47222222222226,SORT-1_like
92,35.0,9.722222222222221,238.19444444444449,SORT-1_like
93,35.0,9.722222222222221,247.9166666666667,SORT-1_like
94,35.0,9.722222222222221,257.6388888888889,SORT-1_like
95,35.0,9.722222222222221,267.36111111111114,SORT-1_like
96,35.0,9.722222222222221,277.08333333333337,SORT-1_like
97,35.0,9.722222222222221,286.8055555555556,SORT-1_like
98,35.0,9.722222222222221,296.5277777777778,SORT-1_like
99,35.0,9.722222222222221,306.25000000000006,SORT-1_like
100,35.0,9.722222222222221,315.9722222222223,SORT-1_like
101,31.5,8.75,324.7222222222223,SORT-1_like
102,27.999999999999996,7.777777777777777,332.50000000000006,SORT-1_like
103,24.5,6.805555555555555,339.3055555555556,SORT-1_like
104,21.0,5.833333333333333,345.1388888888889,SORT-1_like
105,17.5,4.861111111111111,350.0,SORT-1_like
106,14.000000000000002,3.8888888888888893,353.8888888888889,SORT-1_like
107,10.500000000000002,2.916666666666667,356.8055555555556,SORT-1_like
108,7.000000000000001,1.9444444444444446,358.75000000000006,SORT-1_like
109,3.5000000000000036,0.9722222222222232,359.7222222222223,SORT-1_like
110,0.0,0.0,359.7222222222223,SORT-1_like
111,0.0,0.0,359.7222222222223,SORT-1_like
112,0.0,0.0,359.7222222222223,SORT-1_like
113,0.0,0.0,359.7222222222223,SORT-1_like
114,0.0,0.0,359.7222222222223,SORT-1_like
115,0.0,0.0,359.7222222222223,SORT-1_like
116,0.0,0.0,359.7222222222223,SORT-1_like
117,0.0,0.0,359.7222222222223,SORT-1_like
118,0.0,0.0,359.7222222222223,SORT-1_like
119,0.0,0.0,359.7222222222223,SORT-1_like
120,0.0,0.0,359.7222222222223,SORT-1_like
121,0.0,0.0,359.7222222222223,SORT-1_like
122,0.0,0.0,359.7222222222223,SORT-1_like
123,0.0,0.0,359.7222222222223,SORT-1_like
124,0.0,0.0,359.7222222222223,SORT-1_like
125,0.0,0.0,359.7222222222223,SORT-1_like
126,0.0,0.0,359.7222222222223,SORT-1_like
127,0.0,0.0,359.7222222222223,SORT-1_like
128,0.0,0.0,359.7222222222223,SORT-1_like
129,0.0,0.0,359.7222222222223,SORT-1_like
130,0.0,0.0,359.7222222222223,SORT-1_like
131,0.0,0.0,359.7222222222223,SORT-1_like
132,0.0,0.0,359.7222222222223,SORT-1_like
133,0.0,0.0,359.7222222222223,SORT-1_like
134,0.0,0.0,359.7222222222223,SORT-1_like
135,0.0,0.0,359.7222222222223,SORT-1_like
136,0.0,0.0,359.7222222222223,SORT-1_like
137,3.1818181818181817,0.8838383838383838,360.6060606060607,SORT-1_like
138,6.363636363636363,1.7676767676767675,362.37373737373747,SORT-1_like
139,9.545454545454545,2.6515151515151514,365.0252525252526,SORT-1_like
140,12.727272727272727,3.535353535353535,368.5606060606061,SORT-1_like
141,15.909090909090908,4.419191919191919,372.97979797979804,SORT-1_like
142,19.09090909090909,5.303030303030303,378.28282828282835,SORT-1_like
143,22.27272727272727,6.186868686868686,384.46969696969705,SORT-1_like
144,25.454545454545453,7.07070707070707,391.5404040404041,SORT-1_like
145,28.636363636363637,7.954545454545454,399.49494949494954,SORT-1_like
146,31.818181818181817,8.838383838383837,408.33333333333337,SORT-1_like
147,35.0,9.722222222222221,418.0555555555556,SORT-1_like
148,35.0,9.722222222222221,427.7777777777778,SORT-1_like
149,35.0,9.722222222222221,437.50000000000006,SORT-1_like
150,35.0,9.722222222222221,447.2222222222223,SORT-1_like
151,35.0,9.722222222222221,456.9444444444445,SORT-1_like
152,35.0,9.722222222222221,466.66666666666674,SORT-1_like
153,35.0,9.722222222222221,476.38888888888897,SORT-1_like
